19;CAT_ligne;vol;150;19;0;898.000000;650.000000;0.000000
7;affaire;vol;12;18;1;898.000000;650.000000;0.000000
21;leger;vol;5;17;2;951.000000;650.000000;0.000000
13;leger;vol;4;16;2;580.000000;650.000000;0.000000
22;CAT_ligne;vol;160;15;0;845.000000;650.000000;0.000000
14;leger;vol;5;14;2;580.000000;650.000000;0.000000
1;CAT_ligne;vol;180;13;0;792.000000;650.000000;0.000000
15;leger;vol;6;12;2;421.000000;650.000000;0.000000
8;affaire;vol;9;11;1;1216.000000;650.000000;0.000000
9;affaire;vol;15;10;1;1269.000000;650.000000;0.000000
10;affaire;vol;11;9;1;951.000000;650.000000;0.000000
16;leger;vol;4;8;2;951.000000;650.000000;0.000000
11;affaire;vol;14;7;1;951.000000;650.000000;0.000000
12;affaire;vol;13;6;1;1004.000000;650.000000;0.000000
17;leger;vol;7;5;2;474.000000;650.000000;0.000000
2;CAT_ligne;vol;160;4;0;1216.000000;650.000000;0.000000
18;leger;vol;5;3;2;686.000000;650.000000;0.000000
3;CAT_ligne;vol;200;2;0;1110.000000;650.000000;0.000000
4;CAT_ligne;vol;170;1;0;1057.000000;650.000000;0.000000
5;CAT_ligne;vol;190;0;0;1110.000000;650.000000;0.000000
